Category,Subsystem,Functionality/Mode,What Full Coverage Requires,Current Test Case(s),Coverage Status,Notes,QEMU Model Status,QEMU Notes
Interrupts/NVIC,Fault handling,HardFault/BusFault/MemManage/UsageFault dispatch + recovery,"Deliberate fault provocation, longjmp-based recovery, verify CFSR/HFSR decode",case_clock_gating_fault.c (mechanism only),Partial,"Fault-recovery infra exists (Wave D) and is exercised by the RNG clock-gating case, but no case deliberately provokes/verifies each distinct fault *type* (MemManage/BusFault/UsageFault) individually - SHCSR never enables them as separate vectors",Partial,"""Fault-recovery infra exists (Wave D) and is exercised by the RNG clock-gating case, but no case deliberately provokes/verifies each distinct fault *type* (MemManage/BusFault/UsageFault) individually - SHCSR never enables them as separate vectors"",Modeled,target/arm's generic Cortex-M fault model (CFSR/HFSR, MemManage/BusFault/UsageFault dispatch) is architecturally implemented; QEMU's bus model is fully synchronous (per CLAUDE.md) so BusFault timing/precision may differ from real hardware's imprecise faults."
Debug/Trace,DWT,CYCCNT vs SysTick cross-check,"Measure same interval two ways, compare ratio",case_clock_dwt_systick_check.c,Covered,,Modeled,hw/misc/gnw_h7b0_dwt.c implements a real DWT_CYCCNT wired into armv7m's dwt-mr link (gnw_h7b0_soc.c:331); CHANGELOG confirms this was purpose-built to fix armv7m.c's default RAZ/WI.
Debug/Trace,DWT,PC sampling / comparator watchpoints (DWT_COMP0-3),"Configure a DWT comparator for address/data watchpoint, verify DWT match flag fires",,Not Covered,Only CYCCNT is used; other DWT comparator units untested,Not Modeled,hw/misc/gnw_h7b0_dwt.c has no COMP0-3/FUNCTION register logic (grep found none) - only CYCCNT is implemented.
Debug/Trace,ITM,Instrumentation trace / SWO output correctness,"Write ITM stimulus port, verify byte arrives via SWO (needs external capture or loopback)",,Not Covered,ITM never configured in this firmware,Not Modeled,No ITM device object exists in gnw_h7b0_soc.c; armv7m.c's own generic CoreSight region is RAZ/WI for anything this SoC doesn't override.
Debug/Trace,DBGMCU,Debug-mode peripheral freeze (DBGMCU_APB*FZ),"Halt core, verify a timer/watchdog freezes per DBGMCU freeze-bit config",,Not Covered,,Stub,"hw/misc/gnw_h7b0_dbgmcu.c is an auto-generated register-array stub (reset-value/read/write-mask only, gnw_h7b0_dbgmcu.c:1-81) with no actual freeze-on-halt side effect wired to any timer/watchdog."
MPU/Cache,MPU,Region permission enforcement (regions 3-6 non-cacheable AXI SRAM),"Deliberate access violating a configured region's permission, expect MemManage fault",,Not Covered,MPU_Config() correctness relies on absence-of-hardfault only; no case verifies MPU actually enforces a denied access,Modeled,"target/arm's generic Cortex-M MPU (PRBAR/PRLAR, MAIR) implementation enforces region permissions architecturally; not this project's own device model."
MPU/Cache,I-Cache,Enable/throughput/correctness,"SCB_EnableICache(), verify no correctness regression + throughput delta",,Not Covered,I-Cache never enabled in this firmware; unverified whether enabling it changes anything measurable,N/A,TCG has no instruction cache to model; enabling/disabling I-Cache is architecturally a no-op under TCG (correctness holds trivially) with no real throughput-delta to observe.
MPU/Cache,D-Cache,Enable/throughput/correctness with SWD coherency,"SCB_EnableDCache() scoped to private scratch buffer, explicit clean before host SWD read",,Not Covered,Deliberately deferred (test-coverage-plan.md item 3 cache sub-item) - real risk of stale-memory SWD reads if scoping is wrong,N/A,"TCG has no data cache; QEMU's gdbstub memory reads always see the single coherent RAM backing store, so there's no stale-cache-line scenario to reproduce (a real gap vs. hardware, but not a ""bug"" to fix - the scenario itself doesn't exist under TCG)."
Power,Sleep modes,WFI/WFE entry-exit correctness and wake latency,"Enter Sleep, wake via timer/EXTI, verify clocks/state preserved and measure wake latency",,Not Covered,,Partial,"armv7m.c implements generic WFI/WFE (halts vCPU until an IRQ), a real functional behavior; no gnw-specific clock-gating-on-sleep or wake-latency modeling exists in gnw_h7b0_pwr.c."
Power,Stop mode,D1/D2/D3 domain Stop entry-exit correctness,"Enter Stop, verify SRAM retention and PLL relock on wake",,Not Covered,,Stub,"hw/misc/gnw_h7b0_pwr.c only mirrors CSR1/SRDCR VOS-ready bits instantly (gnw_h7b0_pwr.c:71-80); no D1/D2/D3 Stop-mode entry/exit, SRAM-retention, or PLL-relock behavior is modeled."
Power,Standby mode,"Standby entry, backup-domain retention across reset","Enter Standby, verify BOR reset cause + backup SRAM/RTC retained",,Not Covered,,Partial,"gnw_h7b0_gpio.c and RCC have real, hard-won standby/warm-boot-power-off fixes (per CLAUDE.md's ""state-6 standby"" gpio fix and prior session docs) driven by real firmware behavior, but there is no dedicated register-level model of RCC->RSR BOR-reset-cause bits tied to an actual Standby-entry/exit sequence with backup-domain retention."
Power,PWR/Voltage scaling,VOS (voltage scaling) level readback vs configured,"Read PWR->D3CR/CSR1, compare against SystemClock_Config's expected VOS for 280MHz",,Not Covered,"Clock-tree check covers RCC only, not PWR voltage scaling",Modeled,"hw/misc/gnw_h7b0_pwr.c:71-80 implements a real VOS-write instantly mirrored into its own VOSRDY/ACTVOSRDY ready bits (CSR1/SRDCR), a genuine functional readback matching what SystemClock_Config's VOS polling expects."
Power,PVD,Programmable Voltage Detector threshold trip correctness,"Configure PVD threshold, verify EXTI16 event on simulated/real brownout (hard to test safely on real HW)",,Not Applicable to this board,Deliberately risky to test on real hardware (brownout simulation); likely out of scope permanently,N/A,Mirrors diag CSV's own N/A for this row; no PVD device model exists in gnw_h7b0_soc.c either way.
Boot/Reset,Reset cause,RCC->RSR reset-reason bits (POR/BOR/SW/IWDG/WWDG/pin) readback,"Trigger each reset source, verify RSR flag set and cleared correctly after read",,Not Covered,,Partial,"hw/misc/gnw_h7b0_rcc.c:47-48 sets a fixed RCC_RSR_RESET_VALUE at reset and handles RMVF-clear on write (rcc.c:170-176), matching real hardware's own reset-value quirks (per docs/session-2026-07-12-register-snapshot-diffing.md), but does not set distinct RSR flags per actual triggered reset source (IWDG timeout, WWDG, pin, SW) - it's a static post-boot value, not a live reset-cause tracker."
Boot/Reset,Option bytes,Boot pin / flash option byte readback correctness,"Read FLASH_OPTSR_CUR, verify against known board configuration",,Not Covered,,Stub,hw/misc/gnw_h7b0_flash_r.c models sector/bank erase side effects on the backing flash regions (flash_r.c:27-71) but OPTSR/option-byte register content is only the generic reset-value/RMW-mask array with no board-config-specific readback logic verified.
Boot/Reset,Unique ID,96-bit unique device ID readback (0x1FF1E800),Read and sanity-check UID registers are non-zero/stable across resets,case_boot_unique_id.c,Covered,"Sanity-checks 0x1FF1E800 UID is readable and not all-0/all-F. Builds and wired in; real-hw confirmation of THIS specific case was inconclusive due to concurrent-agent probe contention during this session (isa_mul, same pattern/session, did confirm OK) - re-run harness to confirm before fully trusting.",Modeled,"gnw_h7b0_soc.c:244-257 seeds a fixed synthetic 96-bit UID (0x47575145/0x4d55004d/0x00000001) into a dedicated RAM region at UID_BASE_ADDRESS - non-zero and stable across resets, though the specific value is arbitrary/not a match to real silicon's UID."
Memory,AXI SRAM,memcpy bandwidth (round-trip),"Timed memcpy, DWT cycles",case_mem_memcpy_axisram.c,Covered,,N/A,"Plain RAM MemoryRegion (gnw_h7b0_soc.c:149-150); bandwidth is a TCG/host-memory artifact, not a modeled hardware property, so there's nothing device-model-specific to validate beyond ""RAM exists and is contiguous."""
Memory,AXI SRAM,Byte-exact correctness after copy,Compare copied buffer to source byte-for-byte,case_mem_memcpy_axisram.c,Covered,Added in test-coverage-plan.md item 1,Modeled,"Plain RAM backing (gnw_h7b0_soc.c:149-150, merged into one contiguous region per the AXISRAM1/2/3 fix in CHANGELOG) gives byte-exact read/write correctness trivially."
Memory,ITCM,Read bandwidth,Timed sequential read,case_mem_itcm_read.c,Covered,,N/A,"Plain RAM MemoryRegion (gnw_h7b0_soc.c:131); bandwidth is a host/TCG artifact, not a modeled hardware timing characteristic."
Memory,ITCM,Write bandwidth,Timed sequential write,case_mem_itcm_write.c,Covered,,N/A,Same as ITCM read bandwidth above.
Memory,DTCM,Read bandwidth,Timed sequential read,case_mem_dtcm_read.c,Covered,,N/A,Plain RAM MemoryRegion (gnw_h7b0_soc.c:132); bandwidth not modeled as a distinct hardware timing characteristic.
Memory,DTCM,Write bandwidth,Timed sequential write,case_mem_dtcm_write.c,Covered,,N/A,Same as DTCM read bandwidth above.
Memory,AHB SRAM (D2),Read bandwidth,Timed sequential read,case_mem_ahbram_read.c,Covered,,N/A,Plain RAM MemoryRegions (gnw_h7b0_soc.c:151-154); bandwidth not modeled as distinct hardware timing.
Memory,AHB SRAM (D2),Write bandwidth,Timed sequential write,case_mem_ahbram_write.c,Covered,,N/A,Same as AHB SRAM read bandwidth above.
Memory,SRAM4/Backup SRAM,Read/write bandwidth + retention across Standby,Timed r/w + reset-and-check pattern,,Not Covered,Not exercised at all,Partial,"bkpsram is a plain RAM region (gnw_h7b0_soc.c:157-158) giving correct r/w, but QEMU has no modeled Standby-mode power-down/retention distinction - RAM simply persists (or doesn't, across a full VM reset) with no real backup-domain-specific retention semantics."
Memory,RAMECC,ECC error injection/detection on AXI SRAM/SRAM banks,"Deliberately corrupt a bit, verify RAMECC single/double-error flag + interrupt",,Not Covered,"RAMECC peripheral present in SVD, never touched by this firmware",Not Modeled,"create_unimplemented_device(""RAMECC"", ...) (gnw_h7b0_soc.c:232) - reads return 0/log only, no ECC error injection or flag logic exists."
Memory,FMC,External memory controller (SDRAM/NOR/NAND via FMC),"Bring up FMC, timed r/w + correctness against known pattern",,Not Applicable to this board,G&W hardware has no external FMC-attached memory populated (only internal SRAM/flash + OSPI NOR),N/A,"Mirrors diag CSV's own N/A; hw/misc/gnw_h7b0_fmc.c is only a register-array stub (no external memory backing) anyway, consistent with this being unused on real hardware too."
Memory,MDMA,Register-to-memory/memory-to-memory transfer correctness+throughput,"Configure MDMA channel, verify transferred data matches source, timed",,Not Covered,MDMA never initialized in this firmware,Not Modeled,"create_unimplemented_device(""MDMA"", ...) (gnw_h7b0_soc.c:228) - no transfer logic at all."
Memory,BDMA1/BDMA2,D3-domain low-power DMA transfer correctness,"Configure BDMA channel (e.g. for LPUART/SPI6 in D3), verify transfer",,Not Applicable to this board,No D3-domain peripheral (LPUART1/SPI6/I2C4) is brought up on this board,N/A,create_unimplemented_device for both BDMA1 (gnw_h7b0_soc.c:226) and BDMA2 (gnw_h7b0_soc.c:241); mirrors diag CSV's N/A since this board doesn't use them either.
Clock,RCC PLL1,SW/PLLSRC/DIVM1/PLL1DIVR readback vs SystemClock_Config expected,Direct register compare against documented 280MHz config,case_clock_tree_check.c,Covered,,Modeled,"hw/misc/gnw_h7b0_rcc.c implements real PLL1 configuration/readback plus live SYSCLK recompute pushed to armv7m's cpuclk/refclk (gnw_h7b0_soc.c:346), per docs/h7b0-clock-tree-findings.md's confirmed formulas."
Clock,RCC PLL2/PLL3,Divider/status readback for PLL2 (used by OSPI kernel clk) and PLL3,Register compare against expected/actual usage,,Not Covered,clock_tree_check only checks PLL1; PLL2/PLL3 kernel-clock routing (e.g. OSPI's CLKP/HSI path) unverified by a register check,Modeled,"gnw_h7b0_rcc.c:126-134 implements PLL2ON/PLL2RDY and PLL3ON/PLL3RDY readiness, and gnw_h7b0_rcc.c:202-238 implements a real PLL2P fractional-N frequency-decode formula (HAL_RCCEx_GetPLL2ClockFreq-equivalent) per docs/h7b0-clock-tree-findings.md."
Clock,RCC CSI/HSI/HSE,Oscillator ready-flag and HSECSSON clock-security-system correctness,"Verify RDY bits, test CSS trip behavior if HSE ever used",,Not Covered,"Firmware uses HSI only, per known qemu-gnw CSI/CSIRDY mirror-bug history mentioned in test-coverage-plan.md - worth a direct regression case",Partial,"gnw_h7b0_rcc.c:91-119 implements HSEON->HSERDY and CSION->CSIRDY as an instant mirror (a documented approximation, not a delayed-readiness model matching real hardware's few-cycle latency); no HSECSSON clock-security-system trip logic exists at all."
Clock,RCC prescalers,CDCFGR1 HPRE/CDCPRE (AXI/AHB) + APB1-4 prescaler readback,Register compare,case_clock_tree_check.c,Partial,Only HPRE/CDCPRE checked; APB1/2/3/4 (D2CFGR/D3CFGR) prescalers not verified,Partial,"Only HPRE/CDCPRE checked; APB1/2/3/4 (D2CFGR/D3CFGR) prescalers not verified,Modeled,gnw_h7b0_rcc.c is a full real RCC register model (not a stub) with live-recomputed clock outputs; prescaler registers are plain correctly-masked read/write, same class of correctness as the already-tested HPRE/CDCPRE fields."
Clock,RCC kernel clock mux,Per-peripheral kernel clock source selects (e.g. D1CCIPR/D2CCIP1R/D2CCIP2R) for SAI1/OSPI/USART etc.,Register readback vs. expected mux selection per peripheral actually used,,Not Covered,,Partial,"gnw_h7b0_rcc.c stores D1CCIPR/D2CCIP1R/D2CCIP2R as real read/write registers and PLL2-based OSPI/SAI1 kernel clocks are actually decoded and consumed (rcc.c:202-238, sai1's rate decode), but not every peripheral's kernel-mux selection is cross-checked against real hardware register-for-register."
Clock,DWT vs SysTick,Cross-check ratio over fixed window,200ms window compared two ways,case_clock_dwt_systick_check.c,Covered,,Modeled,"Real DWT_CYCCNT (gnw_h7b0_dwt.c) plus armv7m.c's generic SysTick, both live and clocked from the real RCC-derived sysclk."
Clock,Peripheral clock gating,Access to unclocked peripheral's registers: fault vs silent success,Read register of a deliberately-unclocked peripheral via fault-recovery harness,case_clock_gating_fault.c,Partial,"Only RNG tested; found RNG does NOT fault when unclocked on either target - other peripherals (JPEG, FDCAN, SDMMC per plan's own follow-up note) not yet tried",Partial,"""Only RNG tested; found RNG does NOT fault when unclocked on either target - other peripherals (JPEG, FDCAN, SDMMC per plan's own follow-up note) not yet tried"",Not Modeled,QEMU's bus model is fully synchronous with no clock-gating concept at all (per CLAUDE.md's explicit warning); RNG is create_unimplemented_device (gnw_h7b0_soc.c:223) so it never faults regardless of clock state, matching the diag finding but for an unrelated reason (no clock-gate model exists, period) rather than modeling real silicon's actual gate behavior."
Clock,RTC,Calendar accuracy against reference clock (LSE/LSI),"Set RTC, compare elapsed real time vs host wall-clock over a long window",,Not Covered,RTC peripheral never initialized by this firmware,Partial,"hw/misc/gnw_h7b0_rtc.c is a real device (not a stub) implementing calendar/ICSR write-flag semantics found via live gdb tracing, but is not verified to tick at true wall-clock-accurate LSE/LSI rate over a long window."
Clock,RTC,Alarm/wakeup-timer interrupt correctness,"Configure RTC alarm, verify EXTI/IRQ fires at expected time",,Not Covered,,Partial,gnw_h7b0_rtc.c:104-178 implements WUTWF/ALRBWF/ALRAWF write-allowed-flag semantics (a real hard-won fix for HAL_RTCEx_DeactivateWakeUpTimer's poll loop) but no actual alarm-match-triggers-EXTI/IRQ timing logic was found.
Clock,LSE/LSI,32.768kHz LSE oscillator presence/accuracy (if populated) or LSI fallback,Measure LSE/LSI frequency via a known-good reference (e.g. HSI-derived timer capture),,Not Applicable to this board,Unconfirmed whether G&W populates an LSE crystal; RTC/LSE never brought up by this project - verify against schematic before building this,N/A,Mirrors diag CSV's own N/A; no dedicated LSE/LSI oscillator frequency model exists distinct from RCC's instant RDY-bit mirroring.
Crypto,HASH,"Plain hash, polled (MD5)","Fixed buffer hashed via HAL_HASH polled API, digest checked vs offline-computed reference",case_crypto_hash_md5.c,Covered,,Modeled,hw/misc/gnw_h7b0_hash.c is a real device using qcrypto_hash_bytes with QCRYPTO_HASH_ALGO_MD5 selected from ALGOSELECTION (hash.c:41-56); CHANGELOG documents it replaced a HASH stub that permanently hung firmware.
Crypto,HASH,"Plain hash, DMA (MD5)","Same as polled but via *_Start_DMA + DMA/HASH IRQ completion, digest checked",case_crypto_hash_md5_dma.c,Covered,,Modeled,"Same real HASH engine, driven via the real gnw_h7b0_dma.c per-stream transfer-complete model (CHANGELOG confirms this DMA-completion path works)."
Crypto,HASH,"Plain hash, interrupt-mode (MD5)","*_Start_IT variant, digest checked",,Not Covered,IT path deliberately out of scope per this expansion's agreed scope (polled+DMA only),Partial,Same IT-path caveat as HMAC IT-mode above.
Crypto,HASH,"HMAC, polled (MD5)","Fixed key+buffer HMAC'd via HAL_HMAC polled API, checked vs Python hmac module reference",case_crypto_hmac_md5.c,Covered,,Modeled,hash.c's real qcrypto_hash engine supports HMAC mode (used by these already-passing test cases per the diag CSV).
Crypto,HASH,"HMAC, DMA (MD5)",Same as polled but via *_Start_DMA,case_crypto_hmac_md5_dma.c,Covered,,Modeled,Same real HASH+DMA path as plain-hash DMA above.
Crypto,HASH,"HMAC, interrupt-mode (MD5)",*_Start_IT variant,,Not Covered,IT path out of scope per this expansion's agreed scope,Partial,hash.c computes real digests but interrupt-completion signaling (vs polled SR bit / DMA completion) was not confirmed during this audit; likely works via the same NVIC IRQ line but untested by this project's own cases either.
Crypto,HASH,"Plain hash, polled (SHA1)","Fixed buffer hashed via HAL_HASH polled API, digest checked vs offline-computed reference",case_crypto_hash_sha1.c,Covered,,Modeled,hash.c ALGOSELECTION=00 maps to QCRYPTO_HASH_ALGO_SHA1 (hash.c:56).
Crypto,HASH,"Plain hash, DMA (SHA1)","Same as polled but via *_Start_DMA + DMA/HASH IRQ completion, digest checked",case_crypto_hash_sha1_dma.c,Covered,,Modeled,Same real HASH+DMA path.
Crypto,HASH,"Plain hash, interrupt-mode (SHA1)","*_Start_IT variant, digest checked",,Not Covered,IT path deliberately out of scope per this expansion's agreed scope (polled+DMA only),Partial,Same IT-path caveat as MD5 IT-mode above.
Crypto,HASH,"HMAC, polled (SHA1)","Fixed key+buffer HMAC'd via HAL_HMAC polled API, checked vs Python hmac module reference",case_crypto_hmac_sha1.c,Covered,,Modeled,Real HASH engine HMAC mode.
Crypto,HASH,"HMAC, DMA (SHA1)",Same as polled but via *_Start_DMA,case_crypto_hmac_sha1_dma.c,Covered,,Modeled,Real HASH+DMA path.
Crypto,HASH,"HMAC, interrupt-mode (SHA1)",*_Start_IT variant,,Not Covered,IT path out of scope per this expansion's agreed scope,Partial,Same IT-path caveat.
Crypto,HASH,"Plain hash, polled (SHA224)","Fixed buffer hashed via HAL_HASH polled API, digest checked vs offline-computed reference",case_crypto_hash_sha224.c,Covered,,Modeled,hash.c ALGOSELECTION=10 maps to QCRYPTO_HASH_ALGO_SHA224 (hash.c:48-51).
Crypto,HASH,"Plain hash, DMA (SHA224)","Same as polled but via *_Start_DMA + DMA/HASH IRQ completion, digest checked",case_crypto_hash_sha224_dma.c,Covered,,Modeled,Real HASH+DMA path.
Crypto,HASH,"Plain hash, interrupt-mode (SHA224)","*_Start_IT variant, digest checked",,Not Covered,IT path deliberately out of scope per this expansion's agreed scope (polled+DMA only),Partial,Same IT-path caveat.
Crypto,HASH,"HMAC, polled (SHA224)","Fixed key+buffer HMAC'd via HAL_HMAC polled API, checked vs Python hmac module reference",case_crypto_hmac_sha224.c,Covered,,Modeled,Real HASH engine HMAC mode.
Crypto,HASH,"HMAC, DMA (SHA224)",Same as polled but via *_Start_DMA,case_crypto_hmac_sha224_dma.c,Covered,,Modeled,Real HASH+DMA path.
Crypto,HASH,"HMAC, interrupt-mode (SHA224)",*_Start_IT variant,,Not Covered,IT path out of scope per this expansion's agreed scope,Partial,Same IT-path caveat.
Crypto,HASH,"Plain hash, polled (SHA256)","Fixed buffer hashed via HAL_HASH polled API, digest checked vs offline-computed reference",case_crypto_hash_sha256.c,Covered,,Modeled,hash.c ALGOSELECTION=11 maps to QCRYPTO_HASH_ALGO_SHA256 (hash.c:47-48); CHANGELOG confirms incremental buffering + qcrypto_hash_bytes correctness investigated in depth.
Crypto,HASH,"Plain hash, DMA (SHA256)","Same as polled but via *_Start_DMA + DMA/HASH IRQ completion, digest checked",case_crypto_hash_sha256_dma.c,Covered,,Modeled,"Real HASH+DMA path; CHANGELOG's ~400x-slowdown investigation confirmed this path is correctness-clean, just historically slow (since improved by DWT fix)."
Crypto,HASH,"Plain hash, interrupt-mode (SHA256)","*_Start_IT variant, digest checked",,Not Covered,IT path deliberately out of scope per this expansion's agreed scope (polled+DMA only),Partial,Same IT-path caveat.
Crypto,HASH,"HMAC, polled (SHA256)","Fixed key+buffer HMAC'd via HAL_HMAC polled API, checked vs Python hmac module reference",case_crypto_hmac_sha256.c,Covered,,Modeled,Real HASH engine HMAC mode.
Crypto,HASH,"HMAC, DMA (SHA256)",Same as polled but via *_Start_DMA,,Partial,HMAC-SHA256 DMA variant not present (only polled) - gap in the otherwise-complete matrix,Partial,"HMAC-SHA256 DMA variant not present (only polled) - gap in the otherwise-complete matrix,Modeled,Underlying engine/DMA path is the same real, working mechanism already proven by other HMAC-DMA combinations; the gap is purely a missing diag test case, not a QEMU model gap."
Crypto,HASH,"HMAC, interrupt-mode (SHA256)",*_Start_IT variant,,Not Covered,IT path out of scope per this expansion's agreed scope,Partial,Same IT-path caveat.
